,Razão Social,Nome de Pregão,Segmento,Código,Categoria
103,BEST BUY CO.. INC.,BEST BUY,BDR / CDADRN,BBYY,
104,BEYOND MEAT INC,BEYOND MEAT,BDR / CDADRN,B2YN,
105,BILIBILI INC,BILIBILI INC,BDR / CDADRN,B1IL,
106,BILL HOLDINGS. INC.,BILL HOLD,BDR / CDADRN,B2HI,
107,BIOGEN INC.,BIOGEN,BDR / CDADRN,BIIB,
108,BIOMARIN PHARMACEUTICAL INC,BIOMARIN PHA,BDR / CDADRN,B1MR,
109,BIONTECH SE,BIONTECH SE,BDR / CDADRN,B1NT,
110,BIO-TECHNE CORPORATION,BIO-TECHNE C,BDR / CDADRN,T1CH,
111,BLACKLINE INC,BLACKLINE IN,BDR / CDADRN,B2LN,
112,BLACKROCK. INC.,BLACKROCK,BDR / CDADRN,BLAK,
113,BLOCK. INC.,BLOCK INC.,BDR / CDADRN,S2QU,
114,BOOKING HOLDINGS INC,BOOKING,BDR / CDADRN,BKNG,
115,BOOZ ALLEN HAMILTON HOLDING CORP,BOOZALLEN HH,BDR / CDADRN,B2AH,
116,BORGWARNER INC,BORGWARNER I,BDR / CDADRN,B1WA,
117,BOSTON PROPERTIES. INC,BOSTON PROP,BDR / CDADRN,BOXP,
118,BOSTON SCIENTIFIC CORP,BOSTON SCIEN,BDR / CDADRN,B1SX,
119,BP PLC,BP PLC,BDR / CDADRN,B1PP,
120,BREAD FINANCIAL HOLDINGS. INC.,BREAD FINAN,BDR / CDADRN,A1LL,
121,BRISTOL-MYERS SQUIBB COMPANY,BRISTOLMYERS,BDR / CDADRN,BMYB,
122,BRITISH AMERICAN TOBACCO PLC,BRITISH AMER,BDR / CDADRN,B1TI,
123,BROADCOM INC,BROADCOM INC,BDR / CDADRN,AVGO,
124,BROADRIDGE FINANCIAL SOLUTIONS INC,BROADRIDGE F,BDR / CDADRN,B1RF,
125,BROOKFIELD CORPORATION,BROOKFIELD C,BDR / CDADRN,B1AM,
126,BROWN FORMAN CORP,BROWN FORMAN,BDR / CDADRN,B1FC,
127,BRUKER CORP,BRUKER CORP,BDR / CDADRN,B2RK,
128,BUMBLE INC,BUMBLE INC,BDR / CDADRN,B2MB,
129,BURLINGTON STORES INC,BURLINGTONST,BDR / CDADRN,B2UR,
130,CABLE ONE INC,CABLE ONE IN,BDR / CDADRN,C1AB,
131,CACI INTERNATIONAL INC,CACI INTERNL,BDR / CDADRN,C2AC,
132,CADENCE DESIGN SYSTEMS INC,CADENCE DESI,BDR / CDADRN,C1DN,
133,CAESARS ENTERTAINMENT INC,CAESARS ENTT,BDR / CDADRN,C2ZR,
134,CAMDEN PROPERTY TRUST,CAMDEN PROP,BDR / CDADRN,C2PT,
135,CAMPBELL SOUP CO,CAMPBELL SOU,BDR / CDADRN,C1PB,
136,CANADIAN NATIONAL RAILWAY CO,CANAD NATION,BDR / CDADRN,CNIC,
137,CANADIAN PACIFIC KANSAS CITY LIMITED,CANAD KANSAS,BDR / CDADRN,CPRL,
138,CAPITAL ONE FINANCIAL CORP,CAPITAL ONE,BDR / CDADRN,CAON,
139,CAPRI HOLDINGS LTD,CAPRI HOLDI,BDR / CDADRN,CAPH,
140,CARDINAL HEALTH INC,CARDINAL HEA,BDR / CDADRN,C1AH,
141,CARMAX INC,CARMAX INC,BDR / CDADRN,K1MX,
142,CARNIVAL CORP,CARNIVAL COR,BDR / CDADRN,C1CL,
