,Razão Social,Nome de Pregão,Segmento,Código,Categoria
671,STEPAN CO,STEPAN CO,BDR / CDADRN,S2CL,
672,STERIS PLC,STERIS PLC,BDR / CDADRN,S1TE,
673,STMICROELECTRONICS NV,STMICROEL,BDR / CDADRN,STMN,
674,STRIDE INC,STRIDE INC,BDR / CDADRN,L2RN,
675,STRYKER CORP,STRYKER CORP,BDR / CDADRN,S1YK,
676,SUMITOMO MITSUI FINANCIAL GROUP INC,SUMITOMO MIT,BDR / CDADRN,S1MF,
677,SUN COMMUNITIES INC,SUN COMMUN,BDR / CDADRN,S2UI,
678,SYNAPTICS INC,SYNAPTICS,BDR / CDADRN,S2YN,
679,SYNCHRONY FINANCIAL,SYNCHRONY FI,BDR / CDADRN,S1YF,
680,SYNOPSYS INC,SYNOPSYS INC,BDR / CDADRN,S1NP,
681,SYSCO CORP,SYSCO CORP,BDR / CDADRN,S1YY,
682,T ROWE PRICE GROUP INC,T ROWE PRICE,BDR / CDADRN,T1RO,
683,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TAIWANSMFAC,BDR / CDADRN,TSMC,
684,TAKEDA PHARMACEUTICAL CO LTD,TAKEDAPH,BDR / CDADRN,TAKP,
685,TAKE-TWO INTERACTIVE SOFTWARE INC,TAKE-TWO INT,BDR / CDADRN,T1TW,
686,TAL EDUCATION GROUP,TAL EDUCATIO,BDR / CDADRN,T1AL,
687,TANDEM DIABETES CARE INC,TAND DIABETE,BDR / CDADRN,T2ND,
688,TAPESTRY INC,TAPESTRY INC,BDR / CDADRN,TPRY,
689,TARGET CORP,TARGET CORP,BDR / CDADRN,TGTB,
690,TE CONNECTIVITY LTD,TE CONNECTIV,BDR / CDADRN,T1EL,
691,TECHNIPFMC PLC,TECHNIPFMC P,BDR / CDADRN,T1EC,
692,TELADOC HEALTH INC,TELADOCHEALT,BDR / CDADRN,T2DH,
693,TELEFLEX INC,TELEFLEX INC,BDR / CDADRN,T1FX,
694,TELEFONICA SA,TELEFONIC,BDR / CDADRN,TLNC,
695,TEMPUR SEALY INTERNATIONAL INC,TEMPUR SEALY,BDR / CDADRN,T2PX,
696,TENARIS SA,TENARIS SA,BDR / CDADRN,T1SS,
697,TERADYNE INC,TERADYNE INC,BDR / CDADRN,T2ER,
698,TERNIUM SA,TERNIUMSA,BDR / CDADRN,TXSA,
699,TESCO,TESCO,BDR / CDADRN,TCCO,
700,TESLA. INC,TESLA INC,BDR / CDADRN,TSLA,
701,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA PHARMAC,BDR / CDADRN,T1EV,
702,TEXAS INSTRUMENTS INC.,TEXAS INC,BDR / CDADRN,TEXA,
703,TEXTRON INC,TEXTRON INC,BDR / CDADRN,T1XT,
704,THE BANK OF NEW YORK MELLON CORPORATION,BNY MELLON,BDR / CDADRN,BONY,
705,THE BOEING COMPANY,BOEING,BDR / CDADRN,BOEI,
706,THE CHARLES SCHWAB CORPORATION,SCHWAB,BDR / CDADRN,SCHW,
707,THE CIGNA GROUP,CIGNA GROUP,BDR / CDADRN,C1IC,
708,THE COCA-COLA COMPANY,COCA COLA,BDR / CDADRN,COCA,
709,THE GAP. INC.,GAP,BDR / CDADRN,GPSI,
710,THE HAIN CELESTIAL GROUP INC,HAIN CELESTI,BDR / CDADRN,H2AI,
711,THE HERSHEY COMPANY,HERSHEY CO,BDR / CDADRN,HSHY,
712,THE HOME DEPOT. INC.,HOME DEPOT,BDR / CDADRN,HOME,
713,THE JM SMUCKER CO,THE JM SMUCK,BDR / CDADRN,S1JM,
714,THE KRAFT HEINZ COMPANY,KRAFT HEINZ,BDR / CDADRN,KHCB,
715,THE MOSAIC COMPANY,MOSAIC CO,BDR / CDADRN,MOSC,
716,THE PROGRESSIVE CORP,THE PROGRESS,BDR / CDADRN,P1GR,
717,THE SHERWIN-WILLIAMS CO,THE SHERWIN,BDR / CDADRN,S1HW,
718,THE SOUTHERN CO,THE SOUTHERN,BDR / CDADRN,T1SO,
719,THE TRADE DESK INC,TRADE DESK,BDR / CDADRN,T2TD,
720,THE TRAVELERS COMPANIES. INC,TRAVELERS,BDR / CDADRN,TRVC,
721,THE WALT DISNEY COMPANY,WALT DISNEY,BDR / CDADRN,DISB,
722,THE WESTERN UNION COMPANY,WESTERNUNION,BDR / CDADRN,WUNI,
723,THE WILLIAMS COS INC,WILLIAMS COS,BDR / CDADRN,W1MB,
724,THERMO FISHER SCIENTIFIC. INC.,THERMFISCHER,BDR / CDADRN,TMOS,
725,THOMSON REUTERS,THOMSON,BDR / CDADRN,THRE,
726,TJX COMPANIES INC,TJX COMPANIE,BDR / CDADRN,TJXC,
727,T-MOBILE US INC,T-MOBILE US,BDR / CDADRN,T1MU,
728,TOYOTA MOTOR CORP.,TOYOTAMO,BDR / CDADRN,TMCO,
729,TRACTOR SUPPLY CO,TRACTOR SUPP,BDR / CDADRN,T1SC,
730,TRANE TECHNOLOGIES PLC,TRANE TECH,BDR / CDADRN,I1RP,
731,TRANSDIGM GROUP INC,TRANSDIGM GR,BDR / CDADRN,T1DG,
732,TRANSOCEAN LTD.,TRANSOCEAN,BDR / CDADRN,RIGG,
733,TREX CO INC,TREX CO INC,BDR / CDADRN,T2RE,
734,TRIMBLE INC,TRIMBLE INC,BDR / CDADRN,T2RM,
735,TRIP.COM GROUP LIMITED,CTRIPCOM,BDR / CDADRN,CRIP,
736,TRIPADVISOR INC,TRIPADVISOR,BDR / CDADRN,T1RI,
737,TRUIST FINANCIAL CORPORATION,TRUIST FINAN,BDR / CDADRN,B1BT,
738,TWILIO INC,TWILIO INC,BDR / CDADRN,T1WL,
739,TYLER TECHNOLOGIES INC,TYLER TECH,BDR / CDADRN,T2YL,
740,TYSON FOODS INC,TYSON FOODS,BDR / CDADRN,TSNF,
741,U.S. BANCORP,US BANCORP,BDR / CDADRN,USBC,
742,UBER TECHNOLOGIES INC,UBER TECH IN,BDR / CDADRN,U1BE,
743,UBS GROUP AG,UBS GROUP,BDR / CDADRN,UBSG,
744,UDR INC,UDR INC,BDR / CDADRN,U1DR,
745,UIPATH INC,UIPATH INC,BDR / CDADRN,P2AT,
746,ULTA BEAUTY INC,ULTA BEAUTY,BDR / CDADRN,U1LT,
747,ULTRAGENYX PHARMACEUTICAL INC,ULTRAGENYX,BDR / CDADRN,R2AR,
748,UNDER ARMOUR INC,UNDER ARMOUR,BDR / CDADRN,U1AI,
749,UNILEVER PLC,UNILEVER,BDR / CDADRN,ULEV,
750,UNION PACIFIC CORPORATION,UNIONPACIFIC,BDR / CDADRN,UPAC,
751,UNITED AIRLINES HOLDINGS INC,UNITED AIRLI,BDR / CDADRN,U1AL,
752,UNITED NATURAL FOODS INC,UNITED NATUR,BDR / CDADRN,U2NF,
753,UNITED PARCEL SERVICE. INC.,UPS,BDR / CDADRN,UPSS,
754,UNITED RENTALS INC,UNITED RENTA,BDR / CDADRN,U1RI,
755,UNITED STATES STEEL CORPORATION,US STEEL,BDR / CDADRN,USSX,
756,UNITED THERAPEUTICS CORP,UNITEDTHERAP,BDR / CDADRN,U2TH,
757,UNITEDHEALTH GROUP INC,UNITEDHEALTH,BDR / CDADRN,UNHH,
758,UNITY SOFTWARE INC,UNITY SOFTWR,BDR / CDADRN,U2ST,
759,UNIVERSAL DISPLAY CORP,OLED DISPLAY,BDR / CDADRN,O2LE,
760,UNIVERSAL HEALTH SERVICES INC,UNIVERSAL HE,BDR / CDADRN,U1HS,
761,UNUM GROUP,UNUM GROUP,BDR / CDADRN,U1NM,
762,UPSTART HOLDINGS INC,UPSTART HOLD,BDR / CDADRN,U2PS,
763,UPWORK INC,UPWORK INC,BDR / CDADRN,U2PW,
764,VALERO ENERGY CORPORATION,VALERO ENER,BDR / CDADRN,VLOE,
765,VALLEY NATIONAL BANCORP,VALLEY NTION,BDR / CDADRN,VLYB,
766,VARONIS SYSTEMS INC,VARONIS SYS,BDR / CDADRN,V2RN,
767,VEEVA SYSTEMS INC,VEEVASYSTEMS,BDR / CDADRN,V2EE,
768,VENTAS INC,VENTAS INC,BDR / CDADRN,V1TA,
769,VERALTO CORPORATION.,VERALTO FAKE,BDR / CDADRN,VC99,
770,VERISIGN INC,VERISIGN INC,BDR / CDADRN,VRSN,
771,VERISK ANALYTICS INC,VERISK ANALY,BDR / CDADRN,V1RS,
772,VERIZON COMMUNICATIONS INC.,VERIZON,BDR / CDADRN,VERZ,
773,VERTEX PHARMACEUTICALS INC,VERTEX PHARM,BDR / CDADRN,VRTX,
774,VF CORP,VF CORP,BDR / CDADRN,VFCO,
775,VIMEO INC,VIMEO INC,BDR / CDADRN,V2ME,
776,VIPSHOP HOLDINGS LTD,VIPSHOP HOLD,BDR / CDADRN,V1IP,
777,VISA INC.,VISA INC,BDR / CDADRN,VISA,
778,VODAFONE GROUP PUBLIC LTD COMPANY,VODAFONE GRO,BDR / CDADRN,V1OD,
779,VORNADO REALTY TRUST,VORNADO REAL,BDR / CDADRN,V1NO,
780,VTEX,VTEX,BDR / CDADRN,V2TX,
781,VULCAN MATERIALS CO,VULCAN MATER,BDR / CDADRN,V1MC,
782,WABTEC CORP,WABTEC CORP,BDR / CDADRN,W1AB,
783,WALGREENS BOOTS ALLIANCE INC,WALGREENS,BDR / CDADRN,WGBA,
784,WALMART INC.,WAL MART,BDR / CDADRN,WALM,
785,WARNER BROS. DISCOVERY. INC..,WARNER DISCO,BDR / CDADRN,W1BD,
786,WARNER MUSIC GROUP CORPORATION,WARNER MUSIC,BDR / CDADRN,W1MG,
787,WASTE MANAGEMENT INC,WASTE MANAG,BDR / CDADRN,W1MC,
788,WATERS CORP,WATERS CORP,BDR / CDADRN,WATC,
789,WATSCO INC,WATSCO INC,BDR / CDADRN,W1SO,
790,WAYFAIR INC,WAYFAIR INC,BDR / CDADRN,W2YF,
791,WEC ENERGY GROUP INC,WEC ENERGY G,BDR / CDADRN,W1EC,
792,WEIBO CORP,WEIBO CORP,BDR / CDADRN,W1BO,
793,WELLS FARGO & COMPANY,WELLS FARGO,BDR / CDADRN,WFCO,
794,WELLTOWER INC,WELLTOWER IN,BDR / CDADRN,W1EL,
795,WEST PHARMACEUTICAL SERVICES INC,WEST PHARMA,BDR / CDADRN,W2ST,
796,WESTERN ALLIANCE BANCORPORATION,WESTERN BCOR,BDR / CDADRN,WABC,
797,WESTERN DIGITAL CORP,WESTERN DIG,BDR / CDADRN,W1DC,
798,WEX INC,WEX INC,BDR / CDADRN,W2EX,
799,WEYERHAEUSER CO,WEYERHAEUSER,BDR / CDADRN,W1YC,
800,WHIRLPOOL CORP,WHIRLPOOL CO,BDR / CDADRN,W1HR,
801,WILLIS TOWERS WATSON PLC,WILLIS TOWER,BDR / CDADRN,W1LT,
802,WIX.COM LTD,WIX.COM LTD,BDR / CDADRN,W1IX,
803,WOLFSPEED INC,WOLFSPEED IN,BDR / CDADRN,W2OL,
804,WORKDAY INC,WORKDAY INC,BDR / CDADRN,W1DA,
805,WPP PLC,WPP PLC,BDR / CDADRN,W1PP,
806,WR BERKLEY CORPORATION,WR BERKLEY C,BDR / CDADRN,W1RB,
807,WW GRAINGER INC,WW GRAINGER,BDR / CDADRN,G1WW,
808,WYNN RESORTS LTD,WYNN RESORTS,BDR / CDADRN,W1YN,
809,XCEL ENERGY INC,XCEL ENERGY,BDR / CDADRN,X1EL,
810,XEROX HOLDINGS CORPORATION,XEROX CORP,BDR / CDADRN,XRXB,
811,XYLEM INC,XYLEM INC,BDR / CDADRN,X1YL,
812,YPF SA,YPF SA,BDR / CDADRN,Y2PF,
813,YUM BRANDS INC,YUM BRANDS,BDR / CDADRN,YUMR,
814,ZEBRA TECHNOLOGIES CORPORATION,ZEBRA TECHNO,BDR / CDADRN,Z1BR,
815,ZIFF DAVIS INC,ZIFF DAVIS,BDR / CDADRN,Z2DV,
816,ZILLOW GROUP INC,ZILLOW GROUP,BDR / CDADRN,Z2LL,
817,ZIMMER BIOMET HOLDINGS INC,ZIMMER BIOME,BDR / CDADRN,Z1BH,
818,ZIONS BANCORPORATION NA,ZIONSBANCORP,BDR / CDADRN,Z1IO,
819,ZOETIS INC,ZOETIS INC,BDR / CDADRN,Z1TS,
820,ZOOM VIDEO COMMUNICATIONS INC,ZOOM VIDEO,BDR / CDADRN,Z1OM,
821,ZOOMINFO TECHNOLOGIES INC,ZOOMINFO TC,BDR / CDADRN,Z2IT,
822,ZSCALER INC,ZSCALER INC,BDR / CDADRN,Z2SC,
823,ZTO EXPRESS CAYMAN INC,ZTO EXPRESS,BDR / CDADRN,Z1TO,
